,strain,sal,las,iptg,chlor,cole1,plate,measurement,std
286,1x diff 2x bxb1,20,0.01,10,+,kan,15,1.42075,0.008783100656536766
287,1x diff 2x bxb1,20,0.01,10,+,kan,16,1.39625,0.018005951397087654
288,1x diff 2x bxb1,20,0.01,10,-,carb,1,1.3274375,0.014843077992307175
289,1x diff 2x bxb1,20,0.01,10,-,carb,2,1.27275,0.027128003454522237
290,1x diff 2x bxb1,20,0.01,10,-,carb,3,1.2766875,0.038188384079081324
291,1x diff 2x bxb1,20,0.01,10,-,carb,4,1.244125,0.03474678813522595
292,1x diff 2x bxb1,20,0.01,10,-,carb,5,1.2681875,0.030439562485123164
293,1x diff 2x bxb1,20,0.01,10,-,carb,6,1.2899999999999998,0.026248809496813272
294,1x diff 2x bxb1,20,0.01,10,-,carb,7,1.3084375,0.016078906990215528
295,1x diff 2x bxb1,20,0.01,10,-,carb,8,1.3306250000000002,0.034040679445963735
296,1x diff 2x bxb1,20,0.01,10,-,carb,9,1.4400624999999998,0.018174624185542793
297,1x diff 2x bxb1,20,0.01,10,-,carb,10,1.4594999999999998,0.012282391577259917
298,1x diff 2x bxb1,20,0.01,10,-,carb,11,1.4588125,0.00805754969844167
299,1x diff 2x bxb1,20,0.01,10,-,carb,12,1.4682499999999998,0.009550617033170575
300,1x diff 2x bxb1,20,0.01,10,-,carb,13,1.4744375,0.009092530293755265
301,1x diff 2x bxb1,20,0.01,10,-,carb,14,1.4838750000000003,0.0117283234704954
302,1x diff 2x bxb1,20,0.01,10,-,carb,15,1.465875,0.011112251925561378
303,1x diff 2x bxb1,20,0.01,10,-,carb,16,1.4801875,0.0168923852244563
304,1x diff 2x bxb1,20,0.01,10,-,kan,1,1.267375,0.02774340333433202
305,1x diff 2x bxb1,20,0.01,10,-,kan,2,1.2277500000000001,0.022434030272907062
306,1x diff 2x bxb1,20,0.01,10,-,kan,3,1.0465,0.06992495977832237
